timestamp;epochtime;elapsedsecs;Ftmw.Shots
Mon Jan 30 17:23:38 2023;1675128218;0;0
Mon Jan 30 17:28:39 2023;1675128519;300;29940
Mon Jan 30 17:33:38 2023;1675128818;600;59920
Mon Jan 30 17:38:38 2023;1675129118;900;89920
Mon Jan 30 17:43:38 2023;1675129418;1200;119920
Mon Jan 30 17:48:38 2023;1675129718;1500;149920
Mon Jan 30 17:53:38 2023;1675130018;1800;179920
Mon Jan 30 17:58:38 2023;1675130318;2100;209920
Mon Jan 30 18:03:38 2023;1675130618;2400;239920
Mon Jan 30 18:08:38 2023;1675130918;2700;269920
Mon Jan 30 18:13:38 2023;1675131218;3000;299920
Mon Jan 30 18:18:38 2023;1675131518;3300;329920
Mon Jan 30 18:23:38 2023;1675131818;3600;359920
Mon Jan 30 18:28:38 2023;1675132118;3900;389920
Mon Jan 30 18:33:38 2023;1675132418;4200;419920
Mon Jan 30 18:38:38 2023;1675132718;4500;449920
Mon Jan 30 18:43:38 2023;1675133018;4800;479920
Mon Jan 30 18:48:38 2023;1675133318;5100;509920
Mon Jan 30 18:53:38 2023;1675133618;5400;539920
Mon Jan 30 18:58:38 2023;1675133918;5700;569920
Mon Jan 30 19:03:38 2023;1675134218;6000;599920
Mon Jan 30 19:08:38 2023;1675134518;6300;629920
Mon Jan 30 19:13:38 2023;1675134818;6600;659920
Mon Jan 30 19:18:38 2023;1675135118;6900;689920
Mon Jan 30 19:23:38 2023;1675135418;7200;719920
