species,tag,predicted,freq_mhz,unc_mhz,log_intensity,qn
15N,54509,False,26829.811,0.1995,-6.3437,34 331      34 332
15N,54509,True,26969.64,0.05,-5.1661,3 1 3       2 1 2
13C_a,54506,False,27045.8542,0.0014,-6.5956,3 1 3 3     2 1 2 3
13C_a,54506,False,27046.5373,0.0004,-5.6925,3 1 3 3     2 1 2 2
13C_a,54506,False,27046.8545,0.0005,-5.8632,3 1 3 2     2 1 2 1
13C_a,54506,False,27046.8776,0.0004,-5.5322,3 1 3 4     2 1 2 3
13C_a,54506,False,27047.9075,0.0018,-6.5956,3 1 3 2     2 1 2 2
v0_main,53515,False,27520.0037,0.0021,-7.3403,14 21215    15 11516
v0_main,53515,False,27520.0072,0.0021,-7.3985,14 21213    15 11514
v0_main,53515,False,27520.187,0.0011,-7.3694,14 21214    15 11515
13C_b,54507,False,27604.7845,0.0014,-6.5711,3 1 3 3     2 1 2 3
13C_b,54507,False,27605.4675,0.0004,-5.668,3 1 3 3     2 1 2 2
13C_b,54507,False,27605.7886,0.0005,-5.8387,3 1 3 2     2 1 2 1
13C_b,54507,False,27605.8107,0.0004,-5.5077,3 1 3 4     2 1 2 3
13C_b,54507,False,27606.8415,0.0018,-6.5711,3 1 3 2     2 1 2 2
15N,54509,True,27607.45,0.05,-5.0916,3 0 3       2 0 2
15N,54509,False,27621.9059,0.0003,-5.3589,3 2 2       2 2 1
15N,54509,False,27634.3635,0.0003,-5.3585,3 2 1       2 2 0
13C_c,54508,False,27645.771,0.0005,-6.5643,3 1 3 3     2 1 2 3
13C_c,54508,False,27646.4507,0.0004,-5.6612,3 1 3 3     2 1 2 2
13C_c,54508,False,27646.7706,0.0004,-5.8319,3 1 3 2     2 1 2 1
13C_c,54508,False,27646.7925,0.0004,-5.5009,3 1 3 4     2 1 2 3
13C_c,54508,False,27647.8186,0.001,-6.5642,3 1 3 2     2 1 2 2
13C_a,54506,False,27693.0327,0.0003,-6.5209,3 0 3 3     2 0 2 3
13C_a,54506,False,27694.0591,0.0002,-5.7885,3 0 3 2     2 0 2 1
13C_a,54506,False,27694.2472,0.0002,-5.6178,3 0 3 3     2 0 2 2
